date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:57:23	73869/73869	---MCZ	200	added ('OK')	text/html	etag:%2207de7a72a844377dd6d2fdaf77ced2d9%22	https://demo.hasthemes.com/pustok-preview/pustok/shop-grid.html	D:/LAPTRINH/BACK_END/ASP.net/_template/www/demo.hasthemes.com/pustok-preview/pustok/shop-grid.html	(from )
16:57:24	221/221	---MCZ	403	error ('Forbidden')	application/xml	date:Sun,%2020%20Dec%202020%2009:57:23%20GMT	https://demo.hasthemes.com/robots.txt		(from )
16:57:24	425601/425601	---MCZ	200	added ('OK')	text/css	etag:%22cf4b616493493d4377c8d25b7e599478%22	https://demo.hasthemes.com/pustok-preview/pustok/css/plugins.css	D:/LAPTRINH/BACK_END/ASP.net/_template/www/demo.hasthemes.com/pustok-preview/pustok/css/plugins.css	(from https://demo.hasthemes.com/pustok-preview/pustok/shop-grid.html)
16:57:24	477594/477594	---M-Z	200	added ('OK')	text/css	etag:%22678541bfb27bf0976d00c3b4d01a9ec8%22	https://demo.hasthemes.com/pustok-preview/pustok/css/main.css	D:/LAPTRINH/BACK_END/ASP.net/_template/www/demo.hasthemes.com/pustok-preview/pustok/css/main.css	(from https://demo.hasthemes.com/pustok-preview/pustok/shop-grid.html)
16:57:24	1150/1150	---M--	200	added ('OK')	application/octet-stream	etag:%229c9a750812bab056b475fb9cc078f51e%22	https://demo.hasthemes.com/pustok-preview/pustok/image/favicon.ico	D:/LAPTRINH/BACK_END/ASP.net/_template/www/demo.hasthemes.com/pustok-preview/pustok/image/favicon.ico	(from https://demo.hasthemes.com/pustok-preview/pustok/shop-grid.html)
16:57:24	261000/261000	---M-Z	200	added ('OK')	text/html	etag:%2293acf0360c2634d0e2eb36e2048a29c5%22	https://demo.hasthemes.com/pustok-preview/pustok/index.html	D:/LAPTRINH/BACK_END/ASP.net/_template/www/demo.hasthemes.com/pustok-preview/pustok/index.html	(from https://demo.hasthemes.com/pustok-preview/pustok/shop-grid.html)
16:57:24	2436/2436	---M--	200	added ('OK')	image/png	etag:%22a7b193f426bc174846d5cc88cf669fd3%22	https://demo.hasthemes.com/pustok-preview/pustok/image/logo.png	D:/LAPTRINH/BACK_END/ASP.net/_template/www/demo.hasthemes.com/pustok-preview/pustok/image/logo.png	(from https://demo.hasthemes.com/pustok-preview/pustok/shop-grid.html)
16:57:26	296234/296234	---MCZ	200	added ('OK')	text/html	etag:%221414f32ffd4b5215c9284ad1657c3645%22	https://demo.hasthemes.com/pustok-preview/pustok/index-2.html	D:/LAPTRINH/BACK_END/ASP.net/_template/www/demo.hasthemes.com/pustok-preview/pustok/index-2.html	(from https://demo.hasthemes.com/pustok-preview/pustok/shop-grid.html)
16:57:27	257165/257165	---MCZ	200	added ('OK')	text/html	etag:%22522602f725fa31dc2ce31bb071ad08a2%22	https://demo.hasthemes.com/pustok-preview/pustok/index-3.html	D:/LAPTRINH/BACK_END/ASP.net/_template/www/demo.hasthemes.com/pustok-preview/pustok/index-3.html	(from https://demo.hasthemes.com/pustok-preview/pustok/shop-grid.html)
16:57:27	377225/377225	---MCZ	200	added ('OK')	text/html	etag:%22f9a74285d317ff3cb5f923519c04f1fc%22	https://demo.hasthemes.com/pustok-preview/pustok/index-4.html	D:/LAPTRINH/BACK_END/ASP.net/_template/www/demo.hasthemes.com/pustok-preview/pustok/index-4.html	(from https://demo.hasthemes.com/pustok-preview/pustok/shop-grid.html)
16:57:28	79161/79161	---MCZ	200	added ('OK')	text/html	etag:%220997a54266f2381490a1de3d01b87317%22	https://demo.hasthemes.com/pustok-preview/pustok/shop-grid-left-sidebar.html	D:/LAPTRINH/BACK_END/ASP.net/_template/www/demo.hasthemes.com/pustok-preview/pustok/shop-grid-left-sidebar.html	(from https://demo.hasthemes.com/pustok-preview/pustok/shop-grid.html)
16:57:29	79150/79150	---MCZ	200	added ('OK')	text/html	etag:%227feb258d01ee7b3350792e7898e2fd26%22	https://demo.hasthemes.com/pustok-preview/pustok/shop-grid-right-sidebar.html	D:/LAPTRINH/BACK_END/ASP.net/_template/www/demo.hasthemes.com/pustok-preview/pustok/shop-grid-right-sidebar.html	(from https://demo.hasthemes.com/pustok-preview/pustok/shop-grid.html)
16:57:29	74120/74120	---MCZ	200	added ('OK')	text/html	etag:%22a2cf4c1977f354fe1fe9ada8810e04da%22	https://demo.hasthemes.com/pustok-preview/pustok/shop-list.html	D:/LAPTRINH/BACK_END/ASP.net/_template/www/demo.hasthemes.com/pustok-preview/pustok/shop-list.html	(from https://demo.hasthemes.com/pustok-preview/pustok/shop-grid.html)
16:57:29	79417/79417	---MCZ	200	added ('OK')	text/html	etag:%224e259e4c9db350bbe3fb3cfe68f70ed7%22	https://demo.hasthemes.com/pustok-preview/pustok/shop-list-left-sidebar.html	D:/LAPTRINH/BACK_END/ASP.net/_template/www/demo.hasthemes.com/pustok-preview/pustok/shop-list-left-sidebar.html	(from https://demo.hasthemes.com/pustok-preview/pustok/shop-grid.html)
